2	11
2	16
3	12
3	15
4	13
4	14
5	0
5	5
5	13
5	14
6	1
6	4
6	12
6	15
7	2
7	3
7	11
7	16
8	2
8	3
9	1
9	4
10	0
10	5
13	14
13	19
14	15
14	18
15	16
15	17
16	16
16	17
17	15
17	18
18	5
18	10
18	14
18	19
19	6
19	9
20	7
20	8
21	7
21	8
22	6
22	9
23	5
23	10
26	14
26	19
27	15
27	18
28	16
28	17
29	2
29	7
29	16
29	17
30	3
30	6
30	15
30	18
31	4
31	5
31	14
31	19
32	4
32	5
33	3
33	6
34	2
34	7
38	10
38	15
39	11
39	14
40	12
40	13
41	12
41	13
42	11
42	14
43	10
43	15
49	4
49	9
50	5
50	8
51	6
51	7
51	8
52	6
52	7
52	15
52	20
53	5
53	16
53	19
54	4
54	9
54	17
54	18
55	17
55	18
56	16
56	19
57	15
57	20
