5	2
5	3
5	4
5	5
5	6
6	6
7	6
7	12
7	13
7	14
7	15
7	16
8	6
8	12
8	16
9	6
9	12
9	16
10	2
10	3
10	4
10	5
10	6
10	12
10	16
11	12
11	16
16	3
16	4
16	5
16	6
16	7
17	3
18	3
19	3
19	13
19	14
19	15
19	16
19	17
20	3
20	17
21	3
21	4
21	5
21	6
21	7
21	17
22	17
23	17
24	13
24	14
24	15
24	16
24	17
31	5
31	10
32	5
32	10
32	16
32	17
32	18
32	19
32	20
33	5
33	10
33	16
34	5
34	10
34	16
35	5
35	6
35	7
35	8
35	9
35	10
35	16
36	16
37	16
37	17
37	18
37	19
37	20
41	9
41	10
41	11
41	12
41	13
42	9
42	13
43	9
43	13
44	9
44	13
45	9
45	13
51	15
51	20
52	15
52	20
53	4
53	5
53	6
53	7
53	8
53	15
53	20
54	8
54	15
54	20
55	8
55	15
55	16
55	17
55	18
55	19
55	20
56	8
57	8
58	4
58	5
58	6
58	7
58	8
