"target","prediction","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"8",1,0,-4.46032278107308,-1.16041985498729,0.960858191346389,1.31155893633158,0.689878855972995,0.0770175705908704,0.221703260605085,-0.267405364521233,0.75569309884571,-1.02059051849936,-0.419750685171121,-0.0284821068326096,-0.0471377784783583,-0.138408907961208,-0.241110372579265,-0.425416294968168,-0.525495404224136,0.165084196824977,0.208829052102956,0.01956480484994,0.574412083091594,-0.0370146393499321,0.478614662067177,-0.55004330341767,0.0116232622915708,0.573748667663117,0.214520809949833,-0.174264473257987,-0.0421499160623845,0.313707941590789,-0.0469226781027672,0.0289405296502162,0.106905266807694,0.00681163155903317,0.114670830305183,0.318418780733947,0.466066895065161,-0.142731143516704,-0.0840448680760308,-0.109709786312233,0.345744449839062,0.0430342683024412,0.138756434074777,0.219328508841716,-0.0566926032903581,-0.152526655315303,-0.201391235716896,0.0239885135282335,-0.0461730052619736,-0.0128091999901495
"10",1,0,-4.11730435841857,-1.53745276427626,1.12253404156926,0.551824575120001,-0.567344055545779,-0.0833873139658781,-0.190508490128747,-0.0492638855140724,0.641545185093437,-0.789371294627858,-0.0257331242620809,0.0557667546350038,0.0348510426052589,0.284068230008782,0.336622891001071,-0.911041557706231,-0.714021975976626,-0.79334892989375,0.178270749935922,-0.670085513061448,0.477717022329454,0.871572096551509,0.186891847976281,-1.14120889298339,-0.0331878310653958,0.0376304059677451,0.921319527784947,-0.214286895312135,0.0260968772665525,0.598026482392137,0.407313351227187,-0.168362471201155,0.507899505828918,0.282558906945674,0.0504692289973361,0.378080074573794,0.785965134833156,0.332582076817382,0.574644219125123,-0.203811717836777,0.438737398482133,0.0615517790534138,0.499730088160234,0.468160662793151,-0.0632064929267354,0.368380268333622,0.150028114037184,-0.24197180758742,-0.0650929941382206,0.540649650997075
"13",1,0,-4.83912504928213,-1.70512822268117,0.792872111685732,1.32754256261973,0.0672528388178987,-0.0641156426428953,0.773637664236116,-0.747499724852733,-0.162187992438823,-0.59872139430215,-0.0697460666417118,0.465757676899435,-0.0446568108277995,0.194219605827621,-0.358129918428809,0.269122907154051,-0.108607861772936,-0.0707838343010277,-0.162059141374673,-0.0854988409244677,-0.042437677714489,-0.165485820558761,0.000947646468608078,0.123953420440877,0.260751624245677,0.0231055531588642,-0.0991551313671519,0.129118658808791,-0.0180707389765738,-0.206574227867768,0.0527956946643324,0.100871028791871,-0.115090833543803,0.237760829430974,0.0258138914004138,0.0167200821863853,-0.221041836623139,-0.0400965658096089,-0.216097716618055,0.0867816202450014,-0.0644752445559518,0.103575698496876,-0.169369054967547,-0.155815817922833,-0.116058523238251,0.0851371732645813,-0.040271795367813,0.0290851738413919,-0.0554436403498972,-0.131239781798839
"14",1,0,-4.64163443801103,-2.46971727111775,1.15069648191243,1.1238248782811,-0.26222836113654,-0.0784607231020972,0.61936590147735,-0.513597450734021,-0.102024350672049,-0.318248110506363,0.0125947493060789,0.519629372903829,0.0305850582334635,0.196260166948316,-0.172901764745441,0.134524590578082,-0.0533179441559921,-0.259408089470542,-0.0849179914713156,-0.0169099475277419,0.0366419629739669,-0.00885002337703437,-0.133133970477899,0.017859880720068,0.231639506828525,0.0513446150344187,0.12495250362622,-0.0666551642679978,-0.0232715369949604,-0.0906471426831215,0.0546901544557936,0.0632280110250758,0.0275873343460489,0.263120126913358,-0.00222142087287725,0.1142021174756,0.0484270815761676,0.174298930139755,-0.176310228208715,0.0551536662083637,-0.0924335524912689,0.0791185112839008,-0.0648166655068264,-0.0109676028987003,0.0717248552598812,0.179918463139197,0.000145302717548118,-0.131030187027064,0.0808815333825703,-0.123999247807967
"20",1,0,-2.79078662840063,0.0549069820235062,-0.957374404734314,-3.13414551864569,-0.620301251541627,-0.111563751098301,0.242131114151743,1.99693348139974,-0.072875350227288,3.09468604585321,0.562525044179738,0.369770674734064,0.119629490655903,0.234305354651507,0.617361613746318,1.11547208829684,1.22172147068221,1.27263908422428,0.354120353619597,1.02413865949561,-0.601717553292565,0.135157691326275,-0.0497511390742012,1.55743636512595,-0.263585737948248,-1.31329442252939,-1.75677029227466,0.37043444833262,-0.83957100708033,-0.857578653263497,0.0960188528811076,0.0496201092429245,-0.747952283438877,-0.323865068937809,-0.260635588461032,-0.693850976349069,-1.25070911154867,-0.509758616921776,-0.200847659358619,0.357475037795885,-0.766687326860787,-0.238889600087844,-0.31095293689476,-0.299016683304388,0.190307399536925,-0.369636425805173,0.33275821517704,0.385234702418877,-0.460608303663231,-0.166192262500095
"30",1,0,-4.6057227893552,0.0587810012911218,0.439557109058427,-1.93467167002626,-0.209582850131822,0.416965659078472,0.911906023583334,-0.254957025385547,-0.543940482106167,1.0490164515036,0.398195072389902,0.35946142428936,0.114087187043989,-0.42297111719212,0.433733417161763,-0.0628041358779365,-0.682553293716821,0.255183003430014,-0.81343866800904,-0.0840107768472173,0.803110162859482,0.410682720487977,0.402170617655978,-0.0500302778926922,-0.510881907635325,-0.445232070369991,0.238594344451334,0.16811100466436,0.302237535019165,-0.740761919134646,0.34030159848921,-0.387596297919506,-0.134951026531474,0.121672716666229,-0.0357285397148694,0.486194704108363,-0.38060941148219,-0.153998007749956,0.677308005719111,0.0988279881413949,0.0580367026961543,-0.162531933682464,0.270345680160604,-0.00647790134556648,-0.393626368042527,-0.306245047998825,0.648918050865546,-0.417851198642814,-0.0389076863167906,0.190633360440386
"35",1,0,-4.76211630032946,-0.750773212482058,0.809355100786156,1.33237762846063,0.388866259001867,0.0444594407184003,0.6109182366513,-0.597594799710023,0.0722530603062259,-0.741586443807654,-0.153952988690543,0.189189888558167,-0.211323265661203,0.301737763700196,-0.129592916941043,0.0735516357401397,0.113757476040761,-0.167602107940276,-0.17801637711089,-0.098362505114287,-0.0947827241803552,-0.196224566676947,-0.214580717442404,0.155860287167429,0.216262574401151,0.254440180318234,-0.12711912104596,-0.0288771052030094,-0.0982134563274337,-0.0398634397028582,0.0341167251225433,0.000901493401862395,-0.220283694378225,0.351463373884265,0.0524632354630643,-0.035091404276106,-0.060695148488517,0.0427697083605861,-0.24897468184661,-0.0384240491479829,-0.0370135120139652,0.0528740084804936,0.0134830473113061,0.0132785553056877,0.114570926385963,0.140886413973015,-0.0342442270279735,-0.0956627905798975,0.0582979257838945,-0.143721194747924
"42",2,0,4.63937393472381,3.82701307573177,0.482230255724753,1.9393450834215,-4.72142511191714,-1.26189044316791,-1.17748948998226,0.115653028528877,0.197354870747726,-0.551571910199379,-0.775140865486748,0.22579331820222,-1.47850560377985,3.80526775556632,1.71401998420672,-0.313903113550683,0.0706956936055882,-1.6849834656051,-0.531913961605819,1.94922000479398,-1.53222203029645,1.39259603761102,0.103348105918972,1.9403338066671,-2.07795944959619,1.6744159153774,-1.58419635411252,0.94915877862121,0.427932768927345,0.560820043245894,0.316663709525084,-1.31106808129282,-0.778332536369254,1.06501151883,1.41023374880495,0.880642947337817,-0.16205812284663,-0.863726548165776,-0.0608395030280673,0.0127356694568356,-0.0185677765447729,-0.619701373681758,-0.139929359654183,0.49359173548876,-0.245928682924189,-0.379698206547087,-1.011440662763,0.475773983345946,1.84380656907814,0.906522890783957
"45",1,0,-4.98396120802831,-0.112164820627119,0.73704854847456,0.257911589665163,0.481855260303231,0.148018410082047,0.839798692527042,-0.742824384291753,0.083776747022563,-0.427967187879556,0.0302800693738414,0.417834858201483,-0.0987281242913902,-0.0368746725137639,-0.0705073042427265,-0.160608296181772,-0.382749337159636,-0.179374995276579,-0.370900514499526,-0.0555161498537945,0.489022542535506,0.147666546009015,0.0740396890136109,-0.293438764082041,-0.166820265370073,0.160320357503644,0.135635982007193,-0.152269740197621,0.25524061676814,-4.04128381340475e-05,-0.117125264232606,-0.012015197618147,0.0207156129631152,-0.060306714849348,0.230378451651351,0.16102280919825,0.411010741900219,0.000732824178997292,0.214111724411385,-0.000414185747191159,0.311426978264931,-0.011979189856255,0.103132557191003,0.185697097658976,0.061016410946213,-0.00358572484178896,-0.079687048091742,-0.0404309530593216,-0.0431329628542906,0.135497307296549
"53",2,0,2.2438028570733,-2.37659503545007,4.34389135101884,-0.257692992384596,-1.03844005203674,2.60358509573482,-2.53241761591182,1.97543261650086,-2.9387759665193,0.717506290836369,-2.33091514467261,-0.923669430425718,0.72035120786191,0.685139461502302,2.16450309744975,-0.465855660543635,2.0337954957663,2.07409283678636,-0.507153159755879,1.3624181703731,-0.632374473526495,-0.366670881215,-1.9427512953396,-1.8612946818903,0.803547027966702,-0.563311010006061,0.875884492323405,0.0577214712119488,-1.61933598805067,0.677862313387029,1.01697940911541,-0.00841109008570944,0.46839644588984,0.911670569150596,0.334166865964628,-0.364298354236843,0.846237553774629,0.146795615795526,0.747404277145023,0.375097850782864,-0.0720183768714043,-0.111754504220949,0.873283965249014,1.28279388383575,0.440607204072456,-0.771961611502145,-0.503350516291553,-0.575751210294275,-0.888698400587349,0.0726236339955428
