0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0004,0.0018,0.0073,0.0247,0.0680,0.1526,0.2792,0.4167,0.5074,0.5040,0.4083,0.2699,0.1455,0.0640,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0006,0.0029,0.0124,0.0429,0.1212,0.2792,0.5249,0.8049,1.0070,1.0278,0.8557,0.5812,0.3220,0.1455,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0007,0.0039,0.0171,0.0607,0.1760,0.4167,0.8050,1.2685,1.6306,1.7099,1.4628,1.0209,0.5812,0.2699,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0008,0.0043,0.0192,0.0701,0.2087,0.5076,1.0072,1.6307,2.1538,2.3208,2.0400,1.4628,0.8557,0.4083,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0008,0.0040,0.0179,0.0663,0.2022,0.5047,1.0285,1.7105,2.3212,2.5698,2.3209,1.7100,1.0278,0.5040,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0003,0.0009,0.0036,0.0144,0.0523,0.1612,0.4109,0.8582,1.4651,2.0418,2.3220,2.1546,1.6310,1.0073,0.5075,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0003,0.0007,0.0016,0.0041,0.0118,0.0371,0.1093,0.2780,0.5894,1.0283,1.4689,1.7143,1.6334,1.2701,0.8058,0.4171,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0003,0.0008,0.0018,0.0037,0.0073,0.0145,0.0314,0.0735,0.1685,0.3457,0.6031,0.8738,1.0411,1.0158,0.8101,0.5276,0.2805,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0003,0.0007,0.0018,0.0041,0.0084,0.0158,0.0271,0.0443,0.0725,0.1222,0.2067,0.3273,0.4564,0.5399,0.5314,0.4310,0.2868,0.1562,
0.0000,0.0000,0.0000,0.0001,0.0001,0.0003,0.0004,0.0008,0.0016,0.0037,0.0085,0.0176,0.0331,0.0558,0.0850,0.1186,0.1549,0.1944,0.2362,0.2729,0.2881,0.2672,0.2115,0.1404,0.0773,
0.0000,0.0000,0.0001,0.0004,0.0007,0.0012,0.0018,0.0025,0.0039,0.0076,0.0161,0.0333,0.0629,0.1070,0.1630,0.2227,0.2738,0.3053,0.3111,0.2917,0.2518,0.1980,0.1394,0.0861,0.0459,
0.0000,0.0002,0.0006,0.0014,0.0030,0.0051,0.0072,0.0089,0.0109,0.0158,0.0287,0.0569,0.1075,0.1849,0.2850,0.3930,0.4844,0.5345,0.5286,0.4694,0.3746,0.2687,0.1728,0.0992,0.0506,
0.0001,0.0006,0.0018,0.0047,0.0099,0.0173,0.0248,0.0298,0.0319,0.0355,0.0504,0.0894,0.1654,0.2861,0.4467,0.6243,0.7799,0.8703,0.8679,0.7734,0.6161,0.4387,0.2792,0.1587,0.0805,
