5	0
5	1
5	2
5	3
5	4
5	5
5	6
5	7
5	8
5	9
5	10
5	11
6	11
7	11
8	11
9	11
10	11
11	11
17	6
17	7
17	8
17	9
17	10
17	11
17	12
17	13
17	14
17	15
17	16
17	17
18	17
19	17
20	17
21	17
22	17
23	17
23	4
23	5
23	6
23	7
23	8
24	4
25	4
26	4
27	4
28	4
29	4
29	11
30	4
30	11
31	4
31	11
32	4
32	11
33	4
33	11
34	4
34	11
34	12
34	13
34	14
34	15
34	16
34	17
34	18
34	19
34	20
34	21
34	22
35	4
40	11
40	12
40	13
40	14
40	15
41	11
41	5
42	11
42	5
43	11
43	5
44	11
44	5
45	11
45	5
46	11
46	5
47	11
47	5
47	19
48	11
48	5
48	19
49	11
49	5
49	19
50	11
50	5
50	19
51	11
51	5
51	19
52	11
52	5
52	0
52	1
52	2
52	3
52	4
52	19
53	19
54	19
55	19
56	19
57	19
58	19
59	19
59	15
59	16
59	17
59	18
